Areaname,Land Area
Autauga_Alabama_UnitedStates,594.44
Baldwin_Alabama_UnitedStates,1589.78
Barbour_Alabama_UnitedStates,884.88
Bibb_Alabama_UnitedStates,622.58
Blount_Alabama_UnitedStates,644.78
Bullock_Alabama_UnitedStates,622.81
Butler_Alabama_UnitedStates,776.83
Calhoun_Alabama_UnitedStates,605.87
Chambers_Alabama_UnitedStates,596.53
Cherokee_Alabama_UnitedStates,553.7
Chilton_Alabama_UnitedStates,692.85
Choctaw_Alabama_UnitedStates,913.5
Clarke_Alabama_UnitedStates,1238.47
Clay_Alabama_UnitedStates,603.96
Cleburne_Alabama_UnitedStates,560.1
Coffee_Alabama_UnitedStates,678.97
Colbert_Alabama_UnitedStates,592.62
Conecuh_Alabama_UnitedStates,850.16
Coosa_Alabama_UnitedStates,650.93
Covington_Alabama_UnitedStates,1030.46
Crenshaw_Alabama_UnitedStates,608.84
Cullman_Alabama_UnitedStates,734.84
Dale_Alabama_UnitedStates,561.15
Dallas_Alabama_UnitedStates,978.7
DeKalb_Alabama_UnitedStates,777.09
Elmore_Alabama_UnitedStates,618.49
Escambia_Alabama_UnitedStates,945.08
Etowah_Alabama_UnitedStates,534.99
Fayette_Alabama_UnitedStates,627.66
Franklin_Alabama_UnitedStates,633.82
Geneva_Alabama_UnitedStates,574.41
Greene_Alabama_UnitedStates,647.11
Hale_Alabama_UnitedStates,643.94
Henry_Alabama_UnitedStates,561.75
Houston_Alabama_UnitedStates,579.82
Jackson_Alabama_UnitedStates,1077.87
Jefferson_Alabama_UnitedStates,1111.28
Lamar_Alabama_UnitedStates,604.85
Lauderdale_Alabama_UnitedStates,667.7
Lawrence_Alabama_UnitedStates,690.68
Lee_Alabama_UnitedStates,607.54
Limestone_Alabama_UnitedStates,559.94
Lowndes_Alabama_UnitedStates,715.91
Macon_Alabama_UnitedStates,608.89
Madison_Alabama_UnitedStates,801.59
Marengo_Alabama_UnitedStates,976.88
Marion_Alabama_UnitedStates,742.29
Marshall_Alabama_UnitedStates,565.84
Mobile_Alabama_UnitedStates,1229.44
Monroe_Alabama_UnitedStates,1025.68
Montgomery_Alabama_UnitedStates,784.25
Morgan_Alabama_UnitedStates,579.34
Perry_Alabama_UnitedStates,719.66
Pickens_Alabama_UnitedStates,881.41
Pike_Alabama_UnitedStates,672.09
Randolph_Alabama_UnitedStates,580.55
Russell_Alabama_UnitedStates,641.14
St. Clair_Alabama_UnitedStates,631.9
Shelby_Alabama_UnitedStates,784.93
Sumter_Alabama_UnitedStates,903.89
Talladega_Alabama_UnitedStates,736.78
Tallapoosa_Alabama_UnitedStates,716.52
Tuscaloosa_Alabama_UnitedStates,1321.76
Walker_Alabama_UnitedStates,791.19
Washington_Alabama_UnitedStates,1080.21
Wilcox_Alabama_UnitedStates,888.5
Winston_Alabama_UnitedStates,612.98
Aleutians East_Alaska_UnitedStates,6981.94
Aleutians West_Alaska_UnitedStates,4390.28
Anchorage_Alaska_UnitedStates,1704.68
Bethel_Alaska_UnitedStates,40570.0
Bristol Bay_Alaska_UnitedStates,503.84
Denali_Alaska_UnitedStates,12751.41
Dillingham_Alaska_UnitedStates,18568.78
Fairbanks North Star_Alaska_UnitedStates,7338.21
Haines_Alaska_UnitedStates,2318.6
Hoonah-Angoon_Alaska_UnitedStates,7524.92
Juneau_Alaska_UnitedStates,2701.93
Kenai Peninsula_Alaska_UnitedStates,16075.33
Ketchikan Gateway_Alaska_UnitedStates,4858.41
Kodiak Island_Alaska_UnitedStates,6549.58
Lake and Peninsula_Alaska_UnitedStates,23652.01
Matanuska-Susitna_Alaska_UnitedStates,24607.9
Nome_Alaska_UnitedStates,22961.76
North Slope_Alaska_UnitedStates,88695.41
Northwest Arctic_Alaska_UnitedStates,35572.58
