County,Start date,End date,"w, alpha","beta, gamma, ups"
ContraCosta_California_UnitedStates,2020-03-02,2020-03-16,"(0.05, 0.05)",[2.25032013e-01 4.33105849e-06 2.16552925e-07]
ContraCosta_California_UnitedStates,2020-03-16,2020-03-30,"(0.05, 0.05)",[1.40905789e-01 7.33486341e-06 4.98348751e-02]
ContraCosta_California_UnitedStates,2020-03-30,2020-04-13,"(0.05, 0.05)",[5.81038756e-02 2.10361783e-05 4.33161486e-02]
ContraCosta_California_UnitedStates,2020-04-13,2020-04-27,"(0.05, 0.05)",[2.61956692e-02 3.71299238e-06 2.60834099e-02]
ContraCosta_California_UnitedStates,2020-04-27,2020-05-11,"(0.6000000000000001, 0.05)",[ 1.81322539e-02 -1.05400941e-08  1.67448590e-02]
ContraCosta_California_UnitedStates,2020-05-11,2020-05-25,"(0.6000000000000001, 0.05)",[ 2.09137213e-02 -4.74347467e-07  7.09374446e-03]
ContraCosta_California_UnitedStates,2020-05-25,2020-06-08,"(0.6000000000000001, 0.05)",[ 2.05017756e-02 -8.35103427e-07  1.16515120e-03]
ContraCosta_California_UnitedStates,2020-06-08,2020-06-22,"(0.6000000000000001, 0.05)",[ 2.50375034e-02 -1.15656237e-06  1.41372399e-02]
ContraCosta_California_UnitedStates,2020-06-22,2020-07-06,"(0.6000000000000001, 0.05)",[ 3.50291645e-02 -4.87812638e-07  8.18882702e-03]
ContraCosta_California_UnitedStates,2020-07-06,2020-07-20,"(0.1, 0.05)",[2.81813430e-02 1.08215389e-07 5.63420315e-03]
ContraCosta_California_UnitedStates,2020-07-20,2020-08-03,"(0.05, 0.05)",[2.22183108e-02 3.33082626e-05 6.75116297e-03]
ContraCosta_California_UnitedStates,2020-08-03,2020-08-17,"(0.6000000000000001, 0.05)",[ 2.80480177e-02 -1.30659331e-06  5.15419472e-03]
ContraCosta_California_UnitedStates,2020-08-17,2020-08-31,"(0.6000000000000001, 0.05)",[-0.08250552 -0.09384824  0.00165112]
ContraCosta_California_UnitedStates,2020-08-31,2020-09-14,"(0.6000000000000001, 0.05)",[0.12203733 0.11301119 0.00109731]
ContraCosta_California_UnitedStates,2020-09-14,2020-09-28,"(0.15000000000000002, 0.05)",[-0.07347144 -0.07256111  0.00116881]
Fresno_California_UnitedStates,2020-03-02,2020-03-16,"(0.6000000000000001, 0.05)",[ 7.02346974e-02 -1.60366741e-07 -8.01833705e-09]
Fresno_California_UnitedStates,2020-03-16,2020-03-30,"(0.05, 0.05)",[1.94092443e-01 3.66576173e-06 1.83288087e-07]
Fresno_California_UnitedStates,2020-03-30,2020-04-13,"(0.05, 0.05)",[0.10671589 0.00498432 0.09957989]
Fresno_California_UnitedStates,2020-04-13,2020-04-27,"(0.05, 0.05)",[0.07450529 0.02375587 0.00168706]
Fresno_California_UnitedStates,2020-04-27,2020-05-11,"(0.6000000000000001, 0.05)",[0.06211945 0.01774096 0.00300552]
