County,Start date,End date,"w, alpha","beta, gamma, ups"
Fresno_California_UnitedStates,2020-05-01,2020-05-29,"(0.05, 0.05)",[0.03802719 0.01201004 0.01715547]
Fresno_California_UnitedStates,2020-05-29,2020-06-26,"(0.6000000000000001, 0.05)",[0.05569077 0.0099528  0.00951996]
Fresno_California_UnitedStates,2020-06-26,2020-07-24,"(0.6000000000000001, 0.05)",[0.04522407 0.00869925 0.00286073]
Fresno_California_UnitedStates,2020-07-24,2020-08-21,"(0.6000000000000001, 0.05)",[0.04173944 0.0123283  0.00288884]
Fresno_California_UnitedStates,2020-08-21,2020-09-18,"(0.1, 0.05)",[0.02283128 0.01079055 0.00266384]
Fresno_California_UnitedStates,2020-09-18,2020-10-16,"(0.15000000000000002, 0.05)",[-0.03170491 -0.02760771  0.00227298]
Fresno_California_UnitedStates,2020-10-16,2020-11-13,"(0.6000000000000001, 0.05)",[ 5.82106670e-03 -2.46558513e-06  6.77637060e-04]
Kern_California_UnitedStates,2020-05-01,2020-05-29,"(0.1, 0.05)",[0.04364699 0.01648918 0.02121573]
Kern_California_UnitedStates,2020-05-29,2020-06-26,"(0.05, 0.05)",[0.04704003 0.02139506 0.00562373]
Kern_California_UnitedStates,2020-06-26,2020-07-24,"(0.6000000000000001, 0.05)",[0.08662028 0.00904421 0.00658826]
Kern_California_UnitedStates,2020-07-24,2020-08-21,"(0.05, 0.05)",[0.09799083 0.00716452 0.00495028]
Kern_California_UnitedStates,2020-08-21,2020-09-18,"(0.15000000000000002, 0.05)",[-0.02820683 -0.02459362  0.00235644]
Kern_California_UnitedStates,2020-09-18,2020-10-16,"(0.3, 0.05)",[ 0.00160565 -0.00073746  0.00095209]
Kern_California_UnitedStates,2020-10-16,2020-11-13,"(0.6000000000000001, 0.05)",[ 3.96174984e-03 -1.02612742e-06  2.50870423e-04]
Orange_California_UnitedStates,2020-05-01,2020-05-29,"(0.05, 0.05)",[0.11277617 0.0844627  0.01448801]
Orange_California_UnitedStates,2020-05-29,2020-06-26,"(0.05, 0.05)",[0.03924027 0.0114056  0.01834895]
Orange_California_UnitedStates,2020-06-26,2020-07-24,"(0.05, 0.05)",[0.06195352 0.022571   0.00661549]
Orange_California_UnitedStates,2020-07-24,2020-08-21,"(0.05, 0.05)",[0.03619767 0.01253437 0.00501741]
Orange_California_UnitedStates,2020-08-21,2020-09-18,"(0.05, 0.05)",[0.01761956 0.00486271 0.0026574 ]
Orange_California_UnitedStates,2020-09-18,2020-10-16,"(0.2, 0.05)",[-0.03787858 -0.03777691  0.00300556]
Orange_California_UnitedStates,2020-10-16,2020-11-13,"(0.6000000000000001, 0.05)",[ 5.24026791e-03 -3.23766185e-07  9.82614103e-04]
Riverside_California_UnitedStates,2020-05-01,2020-05-29,"(0.6000000000000001, 0.05)",[0.02989088 0.0087164  0.01326827]
Riverside_California_UnitedStates,2020-05-29,2020-06-26,"(0.6000000000000001, 0.05)",[0.04389532 0.00929901 0.00701617]
