County,Start date,End date,"w, alpha","beta, gamma, ups"
ContraCosta_California_UnitedStates,2020-07-09,2020-07-23,"(0.6000000000000001, 0.15)",[ 2.55206123e-02 -1.10256973e-06  1.83575147e-03]
ContraCosta_California_UnitedStates,2020-07-23,2020-08-06,"(0.05, 0.15)",[1.93181264e-02 7.27351835e-06 2.55094395e-03]
ContraCosta_California_UnitedStates,2020-08-06,2020-08-20,"(0.05, 0.15)",[2.86708868e-02 3.57267034e-05 8.35962431e-04]
ContraCosta_California_UnitedStates,2020-08-20,2020-09-03,"(0.1, 0.15)",[-0.11974198 -0.11504633  0.0004342 ]
Fresno_California_UnitedStates,2020-07-09,2020-07-23,"(0.6000000000000001, 0.15)",[0.04610358 0.01146661 0.0012254 ]
Fresno_California_UnitedStates,2020-07-23,2020-08-06,"(0.6000000000000001, 0.15)",[0.0441175  0.01772023 0.00096844]
Fresno_California_UnitedStates,2020-08-06,2020-08-20,"(0.6000000000000001, 0.15)",[0.04278086 0.0162261  0.00120484]
Fresno_California_UnitedStates,2020-08-20,2020-09-03,"(0.1, 0.15)",[0.02924985 0.0115907  0.00238092]
Kern_California_UnitedStates,2020-07-09,2020-07-23,"(0.6000000000000001, 0.15)",[0.07554082 0.00863004 0.00045105]
Kern_California_UnitedStates,2020-07-23,2020-08-06,"(0.05, 0.15)",[0.07491803 0.00415285 0.0011186 ]
Kern_California_UnitedStates,2020-08-06,2020-08-20,"(0.05, 0.15)",[0.07561696 0.00689298 0.00137047]
Kern_California_UnitedStates,2020-08-20,2020-09-03,"(0.1, 0.15)",[-0.0977917  -0.06760343  0.00114016]
Orange_California_UnitedStates,2020-07-09,2020-07-23,"(0.05, 0.15)",[0.05716323 0.02041685 0.00230661]
Orange_California_UnitedStates,2020-07-23,2020-08-06,"(0.05, 0.15)",[0.04503331 0.02069891 0.00144281]
Orange_California_UnitedStates,2020-08-06,2020-08-20,"(0.05, 0.15)",[0.0347144  0.01248846 0.00133148]
Orange_California_UnitedStates,2020-08-20,2020-09-03,"(0.05, 0.15)",[0.02688575 0.00929388 0.0012706 ]
Placer_California_UnitedStates,2020-07-09,2020-07-23,"(0.6000000000000001, 0.15)",[0.05515311 0.02202651 0.00115345]
Placer_California_UnitedStates,2020-07-23,2020-08-06,"(0.05, 0.15)",[0.0430135  0.02323146 0.00221479]
Placer_California_UnitedStates,2020-08-06,2020-08-20,"(0.05, 0.15)",[0.03746542 0.01665104 0.0012652 ]
Placer_California_UnitedStates,2020-08-20,2020-09-03,"(0.6000000000000001, 0.15)",[-0.15039126 -0.15815472  0.00053762]
Riverside_California_UnitedStates,2020-07-09,2020-07-23,"(0.6000000000000001, 0.15)",[0.02990541 0.00625809 0.00071226]
Riverside_California_UnitedStates,2020-07-23,2020-08-06,"(0.6000000000000001, 0.15)",[0.05012176 0.0342307  0.00223855]
Riverside_California_UnitedStates,2020-08-06,2020-08-20,"(0.6000000000000001, 0.15)",[0.02782719 0.01056681 0.00186487]
Riverside_California_UnitedStates,2020-08-20,2020-09-03,"(0.1, 0.15)",[-0.16461996 -0.13071338  0.00097779]
Sacramento_California_UnitedStates,2020-07-09,2020-07-23,"(0.6000000000000001, 0.15)",[ 3.97487946e-02 -5.31610546e-06  7.85823788e-04]
Sacramento_California_UnitedStates,2020-07-23,2020-08-06,"(0.05, 0.15)",[1.46463139e-02 2.40531462e-05 2.72199779e-03]
Sacramento_California_UnitedStates,2020-08-06,2020-08-20,"(0.6000000000000001, 0.15)",[0.04431944 0.01786083 0.00284823]
Sacramento_California_UnitedStates,2020-08-20,2020-09-03,"(0.05, 0.15)",[-0.17042832 -0.13928444  0.00213952]
SanBernardino_California_UnitedStates,2020-07-09,2020-07-23,"(0.15000000000000002, 0.15)",[-0.14182193 -0.15683045  0.00085631]
SanBernardino_California_UnitedStates,2020-07-23,2020-08-06,"(0.05, 0.15)",[0.06120268 0.01940314 0.00315391]
SanBernardino_California_UnitedStates,2020-08-06,2020-08-20,"(0.6000000000000001, 0.15)",[0.03355658 0.01547739 0.0022559 ]
SanBernardino_California_UnitedStates,2020-08-20,2020-09-03,"(0.25, 0.15)",[-0.15848684 -0.15058964  0.00101651]
SanJoaquin_California_UnitedStates,2020-07-09,2020-07-23,"(0.6000000000000001, 0.15)",[0.04393429 0.00824894 0.00258628]
SanJoaquin_California_UnitedStates,2020-07-23,2020-08-06,"(0.1, 0.15)",[0.07811165 0.05000941 0.00327507]
SanJoaquin_California_UnitedStates,2020-08-06,2020-08-20,"(0.1, 0.15)",[0.03875231 0.01292464 0.00331108]
SanJoaquin_California_UnitedStates,2020-08-20,2020-09-03,"(0.15000000000000002, 0.15)",[-0.17876984 -0.15912599  0.00190017]
Ventura_California_UnitedStates,2020-07-09,2020-07-23,"(0.6000000000000001, 0.15)",[0.0630168  0.01502991 0.00185423]
Ventura_California_UnitedStates,2020-07-23,2020-08-06,"(0.6000000000000001, 0.15)",[0.03277127 0.00771209 0.00075999]
Ventura_California_UnitedStates,2020-08-06,2020-08-20,"(0.6000000000000001, 0.15)",[0.04194777 0.02996504 0.00055884]
Ventura_California_UnitedStates,2020-08-20,2020-09-03,"(0.6000000000000001, 0.15)",[-0.14637225 -0.15233412  0.00085009]
Davidson_Tennessee_UnitedStates,2020-07-09,2020-07-23,"(0.1, 0.15)",[0.05381592 0.01900245 0.00118506]
Davidson_Tennessee_UnitedStates,2020-07-23,2020-08-06,"(0.1, 0.15)",[0.04654927 0.02065987 0.00074179]
Davidson_Tennessee_UnitedStates,2020-08-06,2020-08-20,"(0.2, 0.15)",[0.02017138 0.00828859 0.00059778]
Davidson_Tennessee_UnitedStates,2020-08-20,2020-09-03,"(0.6000000000000001, 0.15)",[0.01218791 0.00741563 0.00037116]
Shelby_Tennessee_UnitedStates,2020-07-09,2020-07-23,"(0.05, 0.15)",[0.07415346 0.01988823 0.001482  ]
Shelby_Tennessee_UnitedStates,2020-07-23,2020-08-06,"(0.1, 0.15)",[0.05120977 0.02122841 0.00105215]
Shelby_Tennessee_UnitedStates,2020-08-06,2020-08-20,"(0.1, 0.15)",[0.0280122  0.0108305  0.00115673]
Shelby_Tennessee_UnitedStates,2020-08-20,2020-09-03,"(0.1, 0.15)",[0.01968898 0.00663603 0.00057529]
Harris_Texas_UnitedStates,2020-07-09,2020-07-23,"(0.05, 0.15)",[0.04462521 0.00801545 0.00137636]
Harris_Texas_UnitedStates,2020-07-23,2020-08-06,"(0.2, 0.15)",[0.06115545 0.03474577 0.00141136]
Harris_Texas_UnitedStates,2020-08-06,2020-08-20,"(0.1, 0.15)",[0.03709326 0.01849666 0.00228901]
Harris_Texas_UnitedStates,2020-08-20,2020-09-03,"(0.6000000000000001, 0.15)",[0.02921607 0.01836432 0.00109878]
